transaction_id,user_id,amount,merchant,location,timestamp,card_last4
TXN000001,USER03233,222.41,Costco,"Los Angeles, CA",2024-08-20T02:23:00,3079
TXN000002,USER03894,46.13,Home Depot,"Houston, TX",2024-07-06T13:08:00,6397
TXN000003,USER01895,442.1,Amazon,"Phoenix, AZ",2024-02-29T16:16:00,3909
TXN000004,USER02815,45522.24,Casino Vegas,"Shanghai, China",2024-07-03T04:01:00,9991
TXN000005,USER03503,198.67,Shell Gas,"San Diego, CA",2024-04-02T01:32:00,3615
TXN000006,USER03651,47.53,Target,"New York, NY",2024-07-08T23:59:00,7663
TXN000007,USER01930,458.26,McDonald's,"Philadelphia, PA",2024-03-20T11:48:00,2582
TXN000008,USER01099,328.18,McDonald's,"Philadelphia, PA",2024-05-09T10:07:00,0306
TXN000009,USER00123,359.23,McDonald's,"Dallas, TX",2024-02-08T22:18:00,2304
TXN000010,USER01188,375.5,Costco,"San Diego, CA",2024-04-11T21:02:00,6917
TXN000011,USER03777,236.81,Best Buy,"Phoenix, AZ",2024-08-20T04:05:00,7960
TXN000012,USER04049,448.57,Starbucks,"Los Angeles, CA",2024-05-18T04:10:00,4557
TXN000013,USER03360,181.86,Amazon,"San Diego, CA",2024-01-30T17:31:00,6383
TXN000014,USER01732,107.27,Target,"Houston, TX",2024-05-13T23:34:00,8976
TXN000015,USER02214,478.36,Costco,"Phoenix, AZ",2024-02-11T07:08:00,0548
TXN000016,USER01600,3340.94,High End Electronics,"New York, NY",2024-08-24T19:06:00,2530
TXN000017,USER00445,21065.76,Luxury Jewelry Co,"Mumbai, India",2024-03-18T05:18:00,1250
TXN000018,USER02513,336.04,Apple Store,"Dallas, TX",2024-08-26T17:57:00,2092
TXN000019,USER01255,146.67,Target,"Philadelphia, PA",2024-06-17T16:19:00,0440
TXN000020,USER02018,424.39,Best Buy,"San Antonio, TX",2024-04-14T06:44:00,4122
TXN000021,USER01084,267.03,Walmart,"Los Angeles, CA",2024-10-19T13:00:00,6089
TXN000022,USER01481,247.53,Starbucks,"New York, NY",2024-06-14T23:29:00,3611
TXN000023,USER03419,323.49,Shell Gas,"San Diego, CA",2024-01-04T21:12:00,4073
TXN000024,USER04456,130.54,Shell Gas,"New York, NY",2024-09-27T17:35:00,9806
TXN000025,USER03982,302.84,Costco,"Dallas, TX",2024-09-22T02:25:00,9133
TXN000026,USER01223,304.97,Starbucks,"Philadelphia, PA",2024-10-17T14:11:00,8616
TXN000027,USER00852,216.16,Starbucks,"Dallas, TX",2024-09-08T10:15:00,2429
TXN000028,USER02701,150.88,Starbucks,"Dallas, TX",2024-10-27T04:10:00,6087
TXN000029,USER00996,229.1,McDonald's,"San Antonio, TX",2024-10-10T11:26:00,4868
TXN000030,USER01290,353.62,Shell Gas,"New York, NY",2024-05-03T21:45:00,6545
TXN000031,USER02298,365.35,Home Depot,"Philadelphia, PA",2024-02-27T20:52:00,2996
TXN000032,USER04263,6102.02,International Wire Transfer,"San Jose, CA",2024-05-17T22:58:00,6448
TXN000033,USER03785,1754.14,Apple Store,"New York, NY",2024-04-09T13:20:00,5178
TXN000034,USER00993,279.21,Walmart,"Phoenix, AZ",2024-08-09T07:47:00,8304
TXN000035,USER02081,484.63,Target,"Phoenix, AZ",2024-08-13T03:44:00,6054
TXN000036,USER01798,47.85,Home Depot,"San Jose, CA",2024-05-18T14:39:00,4245
TXN000037,USER00007,5638.16,McDonald's,"Dallas, TX",2024-03-13T14:49:00,2048
TXN000038,USER04900,490.52,Home Depot,"Phoenix, AZ",2024-10-14T15:52:00,7453
TXN000039,USER02136,324.79,Apple Store,"San Jose, CA",2024-02-09T10:25:00,7468
TXN000040,USER02985,406.82,Costco,"San Jose, CA",2024-02-01T00:48:00,4026
TXN000041,USER01201,61.76,Target,"San Jose, CA",2024-02-29T20:07:00,0574
TXN000042,USER03623,147.91,Amazon,"San Diego, CA",2024-01-10T13:32:00,7807
TXN000043,USER01369,243.74,Walmart,"New York, NY",2024-08-14T02:43:00,4142
TXN000044,USER04616,174.84,Starbucks,"Phoenix, AZ",2024-01-11T06:06:00,6153
TXN000045,USER00757,93.51,McDonald's,"San Antonio, TX",2024-03-13T00:27:00,2796
TXN000046,USER00892,123.97,McDonald's,"Houston, TX",2024-06-09T06:19:00,1065
TXN000047,USER00844,405.57,Walmart,"Phoenix, AZ",2024-06-28T12:19:00,6249
TXN000048,USER01836,395.52,Costco,"San Antonio, TX",2024-08-14T22:26:00,0198
TXN000049,USER01975,480.29,Apple Store,"New York, NY",2024-06-28T07:22:00,3741
TXN000050,USER00460,174.99,Best Buy,"Dallas, TX",2024-03-26T18:25:00,1745
TXN000051,USER00485,365.51,Amazon,"San Diego, CA",2024-05-09T19:42:00,3467
TXN000052,USER03077,380.28,Shell Gas,"Phoenix, AZ",2024-03-23T12:37:00,4817
TXN000053,USER02195,335.65,Costco,"San Jose, CA",2024-05-26T13:10:00,1147
TXN000054,USER02317,390.92,Walmart,"Houston, TX",2024-02-03T10:36:00,2973
TXN000055,USER01466,139.16,Costco,"Chicago, IL",2024-02-29T14:41:00,7633
TXN000056,USER02919,364.34,Costco,"Phoenix, AZ",2024-01-23T10:15:00,5406
TXN000057,USER01154,359.88,Shell Gas,"San Diego, CA",2024-09-10T17:25:00,5832
TXN000058,USER02081,3955.96,Walmart,"New York, NY",2024-09-09T11:33:00,3996
TXN000059,USER04754,324.15,Starbucks,"Los Angeles, CA",2024-10-08T16:07:00,2320
TXN000060,USER03354,237.29,Target,"Chicago, IL",2024-02-07T17:01:00,3648
TXN000061,USER00731,451.27,Shell Gas,"Houston, TX",2024-10-15T08:57:00,1170
TXN000062,USER03339,111.09,Shell Gas,"Phoenix, AZ",2024-07-01T20:04:00,3022
TXN000063,USER00360,5303.58,Crypto Exchange,"Dallas, TX",2024-03-29T09:33:00,3646
TXN000064,USER04628,238.13,Starbucks,"New York, NY",2024-05-19T21:12:00,7577
TXN000065,USER02940,123.2,McDonald's,"New York, NY",2024-10-10T16:26:00,4267
TXN000066,USER02854,433.86,Amazon,"San Jose, CA",2024-02-18T03:43:00,3785
TXN000067,USER03480,467.11,Target,"San Antonio, TX",2024-02-16T04:59:00,3788
TXN000068,USER04355,479.04,Starbucks,"San Antonio, TX",2024-06-03T19:43:00,3934
TXN000069,USER03451,376.23,Starbucks,"San Jose, CA",2024-03-06T07:39:00,8474
TXN000070,USER04710,16.96,Starbucks,"Chicago, IL",2024-09-19T02:45:00,8850
TXN000071,USER04692,287.45,Apple Store,"Los Angeles, CA",2024-10-10T02:59:00,4333
TXN000072,USER01979,8006.66,International Wire Transfer,"Mumbai, India",2024-02-22T05:57:00,9876
TXN000073,USER00319,81.67,Shell Gas,"Phoenix, AZ",2024-06-21T17:19:00,0635
TXN000074,USER01444,395.97,Walmart,"Houston, TX",2024-07-21T13:42:00,6874
TXN000075,USER02231,272.19,Apple Store,"Philadelphia, PA",2024-01-02T22:04:00,8455
TXN000076,USER03390,196.31,McDonald's,"San Diego, CA",2024-09-07T20:13:00,7361
TXN000077,USER04151,454.82,McDonald's,"Chicago, IL",2024-05-03T05:30:00,1363
TXN000078,USER02730,2758.38,Starbucks,"Shanghai, China",2024-02-09T22:48:00,8437
TXN000079,USER00436,70.73,Costco,"Philadelphia, PA",2024-08-29T13:24:00,2788
TXN000080,USER00267,28.36,Walmart,"San Jose, CA",2024-05-15T18:43:00,9715
TXN000081,USER03451,34.73,Best Buy,"New York, NY",2024-01-06T10:03:00,1093
TXN000082,USER00305,199.85,Home Depot,"Houston, TX",2024-07-29T17:35:00,9357
TXN000083,USER00585,283.86,Shell Gas,"San Diego, CA",2024-02-13T17:34:00,7372
TXN000084,USER02251,83.01,Target,"New York, NY",2024-07-31T21:23:00,2043
TXN000085,USER02844,275.6,McDonald's,"San Diego, CA",2024-03-06T23:39:00,6413
TXN000086,USER03542,372.19,Home Depot,"San Diego, CA",2024-05-19T06:46:00,1595
TXN000087,USER04047,29.03,McDonald's,"Houston, TX",2024-05-07T20:47:00,1777
TXN000088,USER03567,470.35,Starbucks,"Dallas, TX",2024-03-06T11:06:00,8405
TXN000089,USER00745,241.01,Amazon,"Los Angeles, CA",2024-04-09T17:49:00,4504
TXN000090,USER00819,475.44,Amazon,"Dallas, TX",2024-07-03T07:17:00,2700
TXN000091,USER00734,115.31,Best Buy,"Chicago, IL",2024-03-09T07:11:00,5338
TXN000092,USER03430,350.8,Apple Store,"Houston, TX",2024-01-05T00:38:00,5013
TXN000093,USER00284,201.09,Starbucks,"San Antonio, TX",2024-02-19T17:07:00,3428
TXN000094,USER01251,60.59,Walmart,"Philadelphia, PA",2024-05-08T03:00:00,3901
TXN000095,USER00648,7311.75,McDonald's,"San Jose, CA",2024-03-11T12:55:00,2494
TXN000096,USER04157,237.04,Home Depot,"Los Angeles, CA",2024-02-04T10:39:00,7166
TXN000097,USER03777,96.76,Costco,"Dallas, TX",2024-06-04T01:02:00,5242
TXN000098,USER01156,303.53,Walmart,"Chicago, IL",2024-06-02T14:43:00,7566
TXN000099,USER00366,455.7,Best Buy,"Chicago, IL",2024-01-01T17:50:00,8782
TXN000100,USER03719,15.34,Home Depot,"San Antonio, TX",2024-06-06T16:36:00,5557
TXN000101,USER02062,130.1,McDonald's,"Philadelphia, PA",2024-05-17T20:58:00,1092
TXN000102,USER04171,498.88,Costco,"San Antonio, TX",2024-01-22T07:42:00,3203
TXN000103,USER03295,484.16,Apple Store,"San Diego, CA",2024-04-23T09:25:00,3762
TXN000104,USER02555,53.43,Amazon,"Philadelphia, PA",2024-06-16T14:36:00,7300
TXN000105,USER01656,229.94,Starbucks,"San Antonio, TX",2024-01-15T12:54:00,7736
TXN000106,USER04035,136.83,Starbucks,"Houston, TX",2024-01-11T07:01:00,5245
TXN000107,USER04502,269.45,Home Depot,"Philadelphia, PA",2024-01-14T04:17:00,9290
TXN000108,USER04934,239.43,Target,"Houston, TX",2024-06-06T12:58:00,0317
TXN000109,USER01489,462.66,Best Buy,"Houston, TX",2024-04-29T20:05:00,9570
TXN000110,USER04034,148.86,Starbucks,"New York, NY",2024-01-22T06:29:00,9618
TXN000111,USER04721,34.04,Amazon,"Philadelphia, PA",2024-09-13T21:16:00,5357
TXN000112,USER03533,155.95,Target,"Dallas, TX",2024-06-18T10:53:00,9659
TXN000113,USER03127,476.12,Shell Gas,"Phoenix, AZ",2024-01-16T23:15:00,0623
TXN000114,USER01202,169.48,Home Depot,"San Diego, CA",2024-08-16T20:37:00,2084
TXN000115,USER00963,256.02,Amazon,"San Antonio, TX",2024-10-08T07:04:00,3094
TXN000116,USER03765,256.42,Apple Store,"Philadelphia, PA",2024-09-22T17:03:00,4239
TXN000117,USER03617,427.3,Shell Gas,"New York, NY",2024-10-27T19:03:00,1070
TXN000118,USER01675,107.5,Target,"New York, NY",2024-10-02T09:36:00,6636
TXN000119,USER03881,4307.96,Starbucks,"San Antonio, TX",2024-04-14T13:09:00,9693
TXN000120,USER00507,5442.05,McDonald's,"San Jose, CA",2024-09-25T12:12:00,5052
TXN000121,USER04620,405.25,Target,"Philadelphia, PA",2024-07-15T10:26:00,0251
